Electricity
ElectricityByUtility (1),Utility Name,Year,Ag & Water Pump,Commercial Building,Commercial Other,Industry,Mining & Construction,Residential,Streetlight,Total Usage,CA Electric Utility Retail Price ($/kWh),NorCal or Socal,CA Avg Temp (F)
Publicly owned utility,Redding Electric Utility,2000,13.588318,311.577399,14.396219,17.248568,9.178928,323.794482,4.738646,694.522560,0.094,NorCal,58.8
Publicly owned utility,"Riverside, City of",2000,0.688742,1015.286973,14.005070,130.683720,10.335495,622.000000,0.000000,1793.000000,0.094,SoCal,58.8
Publicly owned utility,Roseville Electric,2000,0.687907,299.047946,35.975165,261.012799,6.723429,269.032000,5.606755,878.086001,0.094,NorCal,58.8
Publicly owned utility,Sacramento Municipal Utility District,2000,150.325445,3666.105766,532.832084,857.971393,170.613518,4126.405431,73.969877,9578.223514,0.094,NorCal,58.8
Investor owned utility,San Diego Gas and Electric Company,2000,261.240283,8597.957556,1591.118552,1704.881580,205.000109,6505.979241,29.117242,18895.294563,0.094,SoCal,58.8
Self Generator,Self Generation in the LADWP planning area,2000,0.000000,240.420975,0.000000,910.806413,0.000000,0.185745,0.000000,1151.413133,0.094,,58.8
Self Generator,Self Generation in the NCNC planning area,2000,0.000000,0.135457,0.959666,0.000000,0.000000,0.198580,0.000000,1.293703,0.094,,58.8
Self Generator,Self Generation in the OTHER planning area,2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.009554,0.000000,0.009554,0.094,,58.8
Self Generator,Self Generation in the PGE planning area,2000,0.000000,421.939868,141.460825,2506.924897,1119.615457,0.903217,0.000000,4190.844264,0.094,,58.8
Self Generator,Self Generation in the SCE planning area,2000,0.000000,170.449424,325.758970,2471.050969,191.244999,0.106842,0.000000,3158.611204,0.094,,58.8
Self Generator,Self Generation in the SDGE planning area,2000,0.000000,141.009832,92.333207,126.123301,0.000000,0.067921,0.000000,359.534261,0.094,,58.8
Publicly owned utility,"Shasta Lake, City of",2000,0.000000,9.608828,0.000000,23.271172,0.000000,35.802000,0.000000,68.682000,0.094,NorCal,58.8
Publicly owned utility,Silicon Valley Power,2000,4.592133,777.254878,42.839913,1471.586321,19.726756,225.700000,20.500000,2562.200001,0.094,NorCal,58.8
Investor owned utility,Southern California Edison Company,2000,2630.395639,30170.592377,4267.556564,16831.277168,2597.943252,26471.331000,466.655000,83435.751000,0.094,SoCal,58.8
Rural electric cooperative,Surprise Valley Electrical Corporation,2000,35.521060,7.055227,2.328022,0.077597,17.160264,30.298000,0.050830,92.491000,0.094,NorCal,58.8
Publicly owned utility,Truckee-Donner Public Utility District,2000,7.617873,48.582796,1.555630,0.000000,0.000000,67.440000,0.235702,125.432001,0.094,NorCal,58.8
Joint utility agency,Tuolumne County Public Power Agency,2000,0.000000,25.989000,0.000000,0.000000,0.000000,0.000000,0.000000,25.989000,0.094,NorCal,58.8
Publicly owned utility,Turlock Irrigation District,2000,187.937342,318.356627,46.665416,337.005737,5.355970,539.340994,8.960901,1443.622987,0.094,NorCal,58.8
Publicly owned utility,"Ukiah, City of",2000,0.000760,61.092881,1.766275,3.187734,0.965350,44.675000,0.000000,111.688000,0.094,NorCal,58.8
Western Area Power Agency,USBR WAPA Boulder City Area Parker-Davis,2000,0.000000,0.000000,103.380000,0.000000,0.000000,0.000000,0.000000,103.380000,0.094,Both,58.8
Western Area Power Agency,USBR WAPA Central Valley Project,2000,2001.062055,1074.494818,737.116127,0.000000,0.000000,0.000000,0.000000,3812.673000,0.094,Both,58.8
Rural electric cooperative,Valley Electric Association,2000,7.269000,0.000000,0.000000,0.000000,0.000000,0.094000,0.000000,7.363000,0.094,Both,58.8
Publicly owned utility,"Vernon, City of",2000,0.002255,209.424410,22.310256,952.013749,2.728330,0.138000,0.000000,1186.617000,0.094,SoCal,58.8
Publicly owned utility,Alameda Municipal Power,2001,0.037388,220.345177,8.217981,10.671001,7.465453,136.388000,2.179374,385.304374,0.112,NorCal,59.1
Publicly owned utility,"Anaheim, City of",2001,0.000000,1187.555125,150.057658,594.613608,33.882372,540.838852,1.842304,2508.789919,0.112,SoCal,59.1
Rural electric cooperative,"Anza Electric Cooperative, Inc.",2001,1.163133,10.287867,0.000000,0.000000,0.000000,24.658000,0.000000,36.109000,0.112,SoCal,59.1
Publicly owned utility,Azusa Light and Water,2001,2.275319,88.747152,9.308855,55.745308,12.747619,69.062000,0.184748,238.071001,0.112,SoCal,59.1
Publicly owned utility,"Banning, City of",2001,5.834605,42.552381,2.496626,20.700212,0.237774,54.625000,1.600401,128.046999,0.112,SoCal,59.1
Investor owned utility,Bear Valley Electric Service,2001,0.000000,44.199710,15.200988,0.000000,0.000000,66.514000,0.995303,126.910001,0.112,SoCal,59.1
Publicly owned utility,Biggs Municipal Utilities,2001,0.000000,1.421844,0.000000,5.251156,0.000000,4.018000,0.000000,10.691000,0.112,NorCal,59.1
Publicly owned utility,Burbank Water and Power,2001,4.154112,638.816306,29.439245,85.778000,10.812337,255.000000,10.000000,1034.000000,0.112,SoCal,59.1
Joint utility agency,Calaveras Public Power Agency,2001,8.620000,14.790000,4.820000,0.000000,0.000000,0.000000,0.020000,28.250000,0.112,NorCal,59.1
Publicly owned utility,Colton Public Utilities,2001,2.216787,158.557216,17.664199,28.541602,1.607197,89.443000,0.000000,298.030001,0.112,SoCal,59.1
Publicly owned utility,"Corona, City of",2001,0.610208,11.749703,3.775348,1.088697,3.546044,0.000000,0.000000,20.770000,0.112,SoCal,59.1
Publicly owned utility,Department of Water Resources,2001,6349.160000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6349.160000,0.112,Both,59.1
Publicly owned utility,"Escondido, City of",2001,0.000000,0.000000,0.000000,0.000000,0.000000,0.286000,0.000000,0.286000,0.112,SoCal,59.1
Publicly owned utility,Glendale Water & Power,2001,3.259772,622.870164,18.344800,50.984716,24.540548,358.000000,9.000000,1087.000000,0.112,SoCal,59.1
Publicly owned utility,"Gridley, City of",2001,0.000000,13.878248,0.391871,2.802684,0.009197,11.098000,0.000000,28.180000,0.112,NorCal,59.1
Publicly owned utility,"Healdsburg, City of, Electric Department",2001,0.905045,28.159815,2.804724,7.658503,4.388913,25.028000,0.000000,68.945000,0.112,NorCal,59.1
Publicly owned utility,Imperial Irrigation District,2001,265.398913,1019.558827,193.809659,111.452893,36.779708,1049.000000,8.000000,2684.000000,0.112,SoCal,59.1
Publicly owned utility,Lassen Municipal Utility District,2001,4.210885,48.423110,10.236217,0.000000,0.000000,65.756000,0.388787,129.014999,0.112,NorCal,59.1
Investor owned utility,Liberty Utilities,2001,15.163874,202.606340,39.451926,2.009116,2.114743,252.343000,0.000000,513.688999,0.112,SoCal,59.1
Publicly owned utility,Lodi Electric Utility,2001,6.495723,162.306599,9.303696,76.939005,10.472812,142.761000,5.321164,413.599999,0.112,NorCal,59.1
Publicly owned utility,"Lompoc, City of, Electric Division",2001,4.509993,56.052781,4.816110,8.192876,0.487811,57.422000,0.302429,131.784000,0.112,SoCal,59.1
Publicly owned utility,Los Angeles Department of Water and Power,2001,193.317905,9787.351125,1716.204728,2753.992068,297.111586,7328.136501,297.343389,22373.457302,0.112,SoCal,59.1
